"","actor.type","year","country","Mood","Polarization"
"415",3,13,17,0.0381243,1.49984
"416",3,17,17,-1.57925,3.00796
"417",4,3,1,0.8627735,4.14968
"418",4,5,1,1.097945,3.33258
"419",4,11,1,-1.103615,3.85618
"420",4,13,1,-1.79616,3.2019
"421",4,17,1,-0.511895,4.20975
"422",4,1,2,-0.01417655,4.07881
"423",4,5,2,1.750905,3.051125
"424",4,10,2,1.12772,3.241615
"425",4,14,2,-1.26108,3.83087
"426",4,11,3,-0.9985285,4.35625
"427",4,15,3,0.484043,4.556495
"428",4,21,3,-1.116625,4.35396
"429",4,1,4,1.078,3.037295
"430",4,5,4,-1.21905,4.07901
"431",4,10,4,0.4856655,3.175195
"432",4,14,4,-1.39798,3.764365
"433",4,18,4,-0.906122,4.13797
"434",4,6,5,1.32397,3.071475
"435",4,10,5,0.2678105,4.607285
"436",4,14,5,-0.7292825,4.50865
"437",4,18,5,0.1949785,4.58369
"438",4,2,6,-1.18965,3.68882
"439",4,6,6,1.798885,3.146325
"440",4,10,6,-1.15329,3.74236
"441",4,14,6,0.540773,3.94301
"442",4,18,6,-0.7911555,3.9941
"443",4,2,7,0.354878,4.36264
"444",4,6,7,0.153027,4.53052
"445",4,10,7,0.07363985,3.91404
"446",4,14,7,0.00773766,4.565715
"447",4,18,7,0.01215835,4.400765
"448",4,4,8,-0.0427629,4.445765
"449",4,6,8,0.8803685,3.86736
"450",4,10,8,0.7266575,3.94773
"451",4,15,8,0.8911125,3.89139
"452",4,17,8,-1.08099,3.90105
"453",4,2,9,0.0976842,4.32805
"454",4,5,9,0.8222255,3.35811
"455",4,8,9,-0.9524095,4.075875
"456",4,11,9,1.71523,3.101725
"457",4,17,9,-0.45108,4.28562
"458",4,3,10,0.470847,4.19421
"459",4,8,10,-1.170105,3.81194
"460",4,12,10,0.1723665,4.34091
"461",4,16,10,0.164336,4.28121
"462",4,20,10,0.43332,4.29848
"463",4,2,11,0.188432,4.38099
"464",4,5,11,-0.05691825,4.464615
"465",4,10,11,-0.305787,4.679275
"466",4,14,11,-1.296995,4.246555
"467",4,18,11,0.08764785,4.5107
"468",4,2,12,-0.8580215,3.761
"469",4,5,12,1.042535,2.67897
"470",4,8,12,0.8010045,3.013475
"471",4,11,12,0.6090485,2.9466
"472",4,14,12,0.470568,3.103965
"473",4,17,12,0.526813,3.60258
"474",4,4,13,0.929481,3.82626
"475",4,10,13,-0.1232455,1.6771
"476",4,15,13,0.1582615,4.87669
"477",4,7,14,-0.253847,5.11517
"478",4,12,14,0.4082085,4.82908
"479",4,17,14,0.51668,3.073045
"480",4,1,15,0.3113525,4.549835
"481",4,6,15,0.5303945,4.206845
"482",4,11,15,0.0810112,4.62398
"483",4,16,15,-0.6671015,4.60689
"484",4,3,16,-0.811697,4.74163
"485",4,9,16,-0.0909483,4.886365
"486",4,14,16,0.356114,4.70733
"487",4,3,17,-0.291892,4.502165
"488",4,8,17,0.335067,4.626695
"489",4,13,17,0.2486715,4.670605
"490",4,17,17,-0.9822575,4.113045
"491",4,1,18,-0.357187,5.078235
"492",4,8,18,-0.9321095,4.508375
