"","actor.type","year","real.year","country","country.name","Mood","Polarization"
"190",1,14,2006,12,"Mexico",0.439184664231311,1.8735810704643
"191",1,15,2007,12,"Mexico",0.395043656555407,3.49500318423774
"192",1,16,2008,12,"Mexico",-0.928874817878966,0.821614200637492
"193",1,17,2009,12,"Mexico",-0.0950785427146749,3.57988068955571
"194",1,18,2010,12,"Mexico",-0.534320732884415,1.51017756626689
"195",1,19,2011,12,"Mexico",-0.60470223911887,1.94768987354899
"196",1,20,2012,12,"Mexico",-0.887638056318383,1.43575163358803
"197",1,21,2013,12,"Mexico",-0.753678424293306,2.00396220336941
"198",1,22,2014,12,"Mexico",-0.513991512964882,1.72205624408184
"199",1,4,1996,13,"Nicaragua",-1.2699902111391,1.25263280824641
"200",1,6,1998,13,"Nicaragua",-0.0966727305092761,0.296832674934191
"201",1,8,2000,13,"Nicaragua",0.661589925152219,2.27240673222422
"202",1,9,2001,13,"Nicaragua",-0.0130374911597156,0.988260060271498
"203",1,10,2002,13,"Nicaragua",-0.0890738427666862,1.51069453982592
"204",1,11,2003,13,"Nicaragua",-0.686908225043756,0.701761785915683
"205",1,12,2004,13,"Nicaragua",-0.267155657363908,0.990897534155173
"206",1,13,2005,13,"Nicaragua",0.145358883576861,1.99068120955685
"207",1,14,2006,13,"Nicaragua",-0.836159138401419,1.42368979071642
"208",1,15,2007,13,"Nicaragua",0.523136415308486,1.80948584075484
"209",1,16,2008,13,"Nicaragua",-0.680775597958177,0.688837428528056
"210",1,17,2009,13,"Nicaragua",0.0527027311720167,2.28607292411899
"211",1,18,2010,13,"Nicaragua",-0.256564715895996,1.03201809567043
"212",1,19,2011,13,"Nicaragua",-0.478686446649732,1.01296539701459
"213",1,20,2012,13,"Nicaragua",-0.838281565291434,1.17390445021154
"214",1,21,2013,13,"Nicaragua",-0.585277240851113,1.54941666411966
"215",1,22,2014,13,"Nicaragua",-0.0870322049750623,1.4747525425532
"216",1,4,1996,14,"Panama",-0.928075282101383,1.43690475024054
"217",1,6,1998,14,"Panama",-0.27525162906251,0.627325555847841
"218",1,8,2000,14,"Panama",-0.375994429013369,2.83249097988834
"219",1,9,2001,14,"Panama",-0.253244446182373,2.16193582850275
"220",1,10,2002,14,"Panama",-0.461479300489129,2.29316006221555
"221",1,11,2003,14,"Panama",-1.10541583233165,1.0481979393816
"222",1,12,2004,14,"Panama",-0.587128147258364,1.27563268655551
"223",1,13,2005,14,"Panama",-0.251526135328152,1.1956484197392
"224",1,14,2006,14,"Panama",-0.37709265653121,1.69697433261796
"225",1,15,2007,14,"Panama",0.270810504325578,2.20798539728248
"226",1,16,2008,14,"Panama",-0.865475970280982,0.957247112898478
"227",1,17,2009,14,"Panama",0.25656026287166,2.72623772924815
"228",1,18,2010,14,"Panama",-0.165808752018763,1.60818704798924
"229",1,19,2011,14,"Panama",0.0620284715212425,2.95881448489652
"230",1,20,2012,14,"Panama",-0.786944632367635,1.69708664904708
"231",1,21,2013,14,"Panama",-0.840454909331544,2.27663199203543
"232",1,22,2014,14,"Panama",0.189632890611297,2.6630237796648
"233",1,4,1996,15,"Paraguay",-0.824116781091836,1.46055192106036
"234",1,6,1998,15,"Paraguay",-0.10781281781328,0.603154370088042
"235",1,8,2000,15,"Paraguay",0.169662137734223,3.26018807389609
"236",1,9,2001,15,"Paraguay",-0.0307091606152343,0.951957960572945
"237",1,10,2002,15,"Paraguay",-0.647038794087995,1.25350555698663
"238",1,11,2003,15,"Paraguay",-0.53999109171767,0.708611472594938
"239",1,12,2004,15,"Paraguay",-0.650492154520304,1.27710430162844
"240",1,13,2005,15,"Paraguay",-0.392076534972324,2.47504670128734
"241",1,14,2006,15,"Paraguay",-0.661900871271103,1.39112247251693
"242",1,15,2007,15,"Paraguay",0.0411492674809617,2.46468581178118
"243",1,16,2008,15,"Paraguay",-0.723805385000782,0.795495958187607
"244",1,17,2009,15,"Paraguay",-0.104445302159185,2.3547454259685
"245",1,18,2010,15,"Paraguay",-0.134318553175961,0.809133897565985
"246",1,19,2011,15,"Paraguay",-0.0871032249228272,2.12658017579546
"247",1,20,2012,15,"Paraguay",-0.925896609091476,1.42442894538646
"248",1,21,2013,15,"Paraguay",-0.731123921051572,0.884444078197708
"249",1,22,2014,15,"Paraguay",-0.449675201405391,1.77670756714729
"250",1,4,1996,16,"Peru",-1.07163012749385,1.44706670533612
"251",1,6,1998,16,"Peru",0.011709958017644,0.462986915069189
"252",1,8,2000,16,"Peru",0.580648049765656,3.10064937206521
"253",1,9,2001,16,"Peru",-0.249079159743904,1.4367620918942
"254",1,10,2002,16,"Peru",-0.602265132951687,1.78764592786193
"255",1,11,2003,16,"Peru",-0.507256872618168,0.736655080058999
"256",1,12,2004,16,"Peru",-0.415660642778536,1.0884005171026
"257",1,13,2005,16,"Peru",-0.00942651123530741,2.31993024373538
"258",1,14,2006,16,"Peru",-0.184596421474577,1.68523306205155
"259",1,15,2007,16,"Peru",0.446716624962751,2.83329722791854
"260",1,16,2008,16,"Peru",-0.588577194049516,0.784501271843285
"261",1,17,2009,16,"Peru",0.121834295407272,3.49439891106569
"262",1,18,2010,16,"Peru",-0.346905242556568,1.79351714982113
"263",1,19,2011,16,"Peru",-0.390802097976677,1.77710762626545
"264",1,20,2012,16,"Peru",-0.748246302758077,1.73168932612718
"265",1,21,2013,16,"Peru",-0.448366240190871,1.75127176227684
"266",1,22,2014,16,"Peru",-0.0795879447038221,2.11159562457853
"267",1,4,1996,17,"Uruguay",-0.611337305316925,1.26314681046613
"268",1,6,1998,17,"Uruguay",-0.341641263860017,0.778634975692302
"269",1,8,2000,17,"Uruguay",-0.513075377597289,2.93434835769878
"270",1,9,2001,17,"Uruguay",-0.323166335106797,1.43964358113288
"271",1,10,2002,17,"Uruguay",-1.12376122671267,1.80361860415367
