"country","year","type","mood1990","Heterogeneity1990","LH_clust","UH_clust","E_clust","LH_pref_const","LH_pref_het_const","LH_pref_spline","LH_pref_het_spline","ExecParty_pref_const","MedianParty_pref_const","ExecParty_pref_spline","MedianParty_pref_spline","UH_pref_const","UH_pref_het_const","UH_pref_spline","UH_pref_het_spline","L_pref_const","L_pref_spline","L_het_const","L_het_spline","E_pref_const","E_pref_het_const","E_pref_spline","E_pref_het_spline","ProcessName","ProcessNumberAll","ProcessCollapsed","gdp2y","infl2y","unemp2y","decade","lag_policy","ChangePolicy","lag_L_pref_const","ChangeLPrefConst","lag_ChangeLPrefConst","lag_L_pref_spline","ChangeLPrefSpline","lag_ChangeLPrefSpline","lag_E_pref_const","ChangeEPrefConst","lag_ChangeEPrefConst","lag_E_pref_spline","ChangeEPrefSpline","lag_ChangeEPrefSpline","lag_L_het_const","ChangeLHetConst","lag_L_het_spline","ChangeLHetSpline","mo_cong_s_L","mo_cong_c_L","winset_incong_s_B","winset_cong_c_B","winset_cong_s_B","dist_const","dist_spline"
"Argentina",1995,"Policy",0.658740934297947,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.65794654591783,0.879112506099922,1.65794654591783,0.879112506099922,0.549280325214609,0.549280325214609,0.549280325214609,0.549280325214609,1.75513102455986,0.796119490106506,1.75513102455986,0.796119490106506,1.70653878523884,1.70653878523884,0.838643261735503,0.838643261735503,2.12052185575626,5.13529028297555,2.12052185575626,5.13529028297555,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,0.204505,-0.240844958562668,15.44999981,"1990",0.658774281531697,-3.33472337500362e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",1996,"Policy",0.669560488250509,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.65794654591783,0.879112506099922,1.37025673466581,0.592089322148112,0.549280325214609,0.549280325214609,0.206086312060944,0.205971372474829,1.75513102455986,0.796119490106506,1.41950903926027,0.582405393536462,1.70653878523884,1.39488288696304,0.838643261735503,0.587267318953717,2.12052185575626,5.13529028297555,2.62354926839989,4.79868455914637,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,0.101635,-0.248348963503004,18,"1990",0.658740934297947,0.010819553952562,1.70653878523884,0,NA,1.70653878523884,-0.311655898275802,NA,2.12052185575626,0,NA,2.12052185575626,0.503027412643634,NA,0.838643261735503,0,0.838643261735503,-0.251375942781787,0.402457909438437,0.386045467252764,NA,TRUE,TRUE,0.413983070517415,0.413983070517415
"Argentina",1997,"Policy",0.674128780578137,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.24161484434273,0.417313565686024,1.24161484434273,0.417313565686024,-0.00803579661016949,-0.00803579661016949,-0.00803579661016951,-0.0080357966101694,1.26169213647562,0.418984123526384,1.26169213647562,0.418984123526384,1.25165349040917,1.25165349040917,0.418149678866764,0.418149678866764,2.75997852016095,4.73650540560434,2.75997852016095,4.73650540560434,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,5.56102,-0.253668967005481,16.05000019,"1990",0.669560488250509,0.00456829232762801,1.70653878523884,-0.45488529482967,0,1.39488288696304,-0.143229396553868,-0.311655898275802,2.12052185575626,0.63945666440469,0,2.62354926839989,0.136429251761056,0.503027412643634,0.838643261735503,-0.420493582868739,0.587267318953717,-0.169117640086953,0.395735973385184,0.387918585783781,NA,TRUE,TRUE,0.413983070517415,1.22866638143685
"Argentina",1998,"Policy",1.24209947707462,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.24161484434273,0.417313565686024,1.22652094144685,0.314516599201996,-0.00803579661016949,-0.00803579661016949,-0.117437701694653,-0.117118425066554,1.26169213647562,0.418984123526384,1.23242385678197,0.307818052299192,1.25165349040917,1.22947239911441,0.418149678866764,0.311185350309793,2.75997852016095,4.73650540560434,2.59864053783102,4.86589838083255,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,4.77166,-0.25225029940482,13.849999905,"1990",0.674128780578137,0.567970696496483,1.25165349040917,0,-0.45488529482967,1.25165349040917,-0.0221810912947678,-0.143229396553868,2.75997852016095,0,0.63945666440469,2.75997852016095,-0.16133798232993,0.136429251761056,0.418149678866764,0,0.418149678866764,-0.106964328556971,0.998806287847281,1.00034782965569,NA,TRUE,TRUE,1.50832502975178,1.50832502975178
"Argentina",1999,"Policy",1.25968761817189,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.24161484434273,0.417313565686024,1.27231378695046,0.261544756191839,-0.00803579661016949,-0.00803579661016949,-0.14889787838332,-0.148182698736378,1.26169213647562,0.418984123526384,1.27532421700062,0.242807637083537,1.25165349040917,1.27381900197554,0.418149678866764,0.252350161598461,2.75997852016095,4.73650540560434,2.20915019546867,5.1126125028057,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,-0.88744,-0.255423634827351,13.450000285,"1990",1.24209947707462,0.0175881410972698,1.25165349040917,0,0,1.22947239911441,0.0443466028611317,-0.0221810912947678,2.75997852016095,0,0,2.59864053783102,-0.389490342362349,-0.16133798232993,0.418149678866764,0,0.311185350309793,-0.0588351887113314,0.994507870381462,0.998800471569341,NA,TRUE,FALSE,1.50832502975178,1.36916813871661
"Argentina",2000,"Policy",1.23803923475039,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.24161484434273,0.417313565686024,1.32454181544436,0.248225272510755,-0.00803579661016949,-0.00803579661016949,-0.129801495440708,-0.128767039165668,1.26169213647562,0.418984123526384,1.33223235301419,0.216863647968845,1.25165349040917,1.32838708422927,0.418149678866764,0.233072550639703,2.75997852016095,4.73650540560434,1.66131835394921,5.39519362583381,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,-3.171045,-0.258895637113178,14.55000019,"2000",1.25968761817189,-0.0216483834215,1.25165349040917,0,0,1.27381900197554,0.0545680822537356,0.0443466028611317,2.75997852016095,0,0,2.20915019546867,-0.547831841519458,-0.389490342362349,0.418149678866764,0,0.252350161598461,-0.0192776109587587,0.986207601581753,0.996517880809598,NA,FALSE,FALSE,1.50832502975178,0.935331193493131
"Argentina",2001,"Policy",0.95146669034798,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.24161484434273,0.417313565686024,1.32875346151936,0.278111958620662,-0.00803579661016949,-0.00803579661016949,-0.0875337216313574,-0.0864098679004487,1.26169213647562,0.418984123526384,1.34498740070528,0.231287284556356,1.25165349040917,1.33687043111232,0.418149678866764,0.255773405112097,2.75997852016095,4.73650540560434,1.02495587414795,5.61519674786848,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,-3.675115,-0.258708970323617,16.64999962,"2000",1.23803923475039,-0.28657254440241,1.25165349040917,0,0,1.32838708422927,0.00848334688304586,0.0545680822537356,2.75997852016095,0,0,1.66131835394921,-0.636362479801257,-0.547831841519458,0.418149678866764,0,0.233072550639703,0.0227008544723938,0.280599987822781,0.641082002510048,NA,FALSE,FALSE,1.50832502975178,0.332931269719938
"Argentina",2002,"Policy",0.912691313831564,1,"LH-Limited powers","UH-Limited powers","Proactive president",1.24161484434273,0.417313565686024,1.23049715976624,0.380489936748633,-0.00803579661016949,-0.00803579661016949,-0.0494797257198046,-0.048649606486747,1.26169213647562,0.418984123526384,1.25542849595652,0.310628829177237,1.25165349040917,1.24296282786138,0.418149678866764,0.347320357510901,2.75997852016095,4.73650540560434,0.369873616940211,5.66012698289179,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,-8.67124,-0.20866360404242,18.09999943,"2000",0.95146669034798,-0.038775376516416,1.25165349040917,0,0,1.33687043111232,-0.0939076032509383,0.00848334688304586,2.75997852016095,0,0,1.02495587414795,-0.655082257207744,-0.636362479801257,0.418149678866764,0,0.255773405112097,0.0915469523988041,0.284562347366394,0.605285483493918,NA,FALSE,FALSE,1.50832502975178,0.311914556964365
"Argentina",2003,"Policy",0.987881778209086,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.975321344775819,0.657495349888593,0.975321344775819,0.657495349888593,-0.0430246764705882,-0.0430246764705882,-0.0430246764705881,-0.0430246764705881,1.00539477465051,0.554040086671866,1.00539477465051,0.554040086671866,0.990358059713164,0.990358059713165,0.607972266129176,0.607972266129176,-0.234117556798712,5.42625370255078,-0.234117556798711,5.42625370255078,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,-2.116785,-0.181578252877177,17,"2000",0.912691313831564,0.075190464377522,1.25165349040917,-0.26129543069601,0,1.24296282786138,-0.252604768148217,-0.0939076032509383,2.75997852016095,-2.99409607695966,0,0.369873616940211,-0.603991173738922,-0.655082257207744,0.418149678866764,0.189822587262412,0.347320357510901,0.260651908618276,0.648099375354978,0.712498296807628,NA,TRUE,FALSE,1.50832502975178,0.873089210921171
"Argentina",2004,"Policy",0.994408431991372,1,"LH-Limited powers","UH-Limited powers","Proactive president",0.975321344775819,0.657495349888593,0.542790652387258,1.41707706671488,-0.0430246764705882,-0.0430246764705882,-0.0840265647474968,-0.0850610210225378,1.00539477465051,0.554040086671866,0.570562110505004,1.30536204345248,0.990358059713164,0.556676381446131,0.607972266129176,1.36236512680994,-0.234117556798712,5.42625370255078,-0.720930535711631,4.92180325576464,"LH-Limited powers:UH-Limited powers:Proactive president",12,7,7.74644,-0.221655612595838,14.35000038,"2000",0.987881778209086,0.00652665378228601,0.990358059713164,0,-0.26129543069601,0.990358059713165,-0.433681678267034,-0.252604768148217,-0.234117556798712,0,-2.99409607695966,-0.234117556798711,-0.48681297891292,-0.603991173738922,0.607972266129176,0,0.607972266129176,0.754392860680759,0.999435384414706,1.00024270232703,NA,FALSE,FALSE,1.22447561651188,1.22447561651188
