"","actor.type","year","country","Mood","Polarization"
"414",3,8,17,1.001935,0.2203935
"415",3,13,17,0.0534099,1.663495
"416",3,17,17,-1.53691,3.183625
"417",4,3,1,1.162415,1.69108
"418",4,5,1,1.72315,1.65681
"419",4,11,1,-1.87449,1.730005
"420",4,13,1,-3.306325,1.41598
"421",4,17,1,-0.907088,1.74345
"422",4,1,2,-0.0620145,1.770645
"423",4,5,2,3.22408,1.38335
"424",4,10,2,2.002915,1.532135
"425",4,14,2,-2.046595,1.67835
"426",4,11,3,-1.49052,1.757925
"427",4,15,3,0.7407775,1.747995
"428",4,21,3,-1.61299,1.64756
"429",4,1,4,2.103145,1.57873
"430",4,5,4,-1.870775,1.73826
"431",4,10,4,0.9271845,1.733275
"432",4,14,4,-2.26838,1.511605
"433",4,18,4,-1.37952,1.736915
"434",4,6,5,2.48414,1.510405
"435",4,10,5,0.4033445,1.810185
"436",4,14,5,-1.128915,1.804485
"437",4,18,5,0.197681,1.746415
"438",4,2,6,-1.99702,1.69069
"439",4,6,6,3.246315,1.462115
"440",4,10,6,-1.92403,1.623845
"441",4,14,6,0.762278,1.809875
"442",4,18,6,-1.28263,1.72838
"443",4,2,7,0.5926645,1.77394
"444",4,6,7,0.1928585,1.75521
"445",4,10,7,0.04616645,1.67581
"446",4,14,7,-0.0350617,1.83227
"447",4,18,7,0.01151755,1.95213
"448",4,4,8,-0.144304,1.82508
"449",4,6,8,1.380105,1.65512
"450",4,10,8,1.064235,1.735645
"451",4,15,8,1.35548,1.632315
"452",4,17,8,-1.812055,1.62155
"453",4,2,9,0.0642521,1.801775
"454",4,5,9,1.420525,1.70954
"455",4,8,9,-1.522035,1.685305
"456",4,11,9,3.235025,1.36143
"457",4,17,9,-0.7681345,1.8589
"458",4,3,10,0.721426,1.84031
"459",4,8,10,-1.86581,1.55436
"460",4,12,10,0.2423225,1.78055
"461",4,16,10,0.221442,1.75008
"462",4,20,10,0.617111,1.76438
"463",4,2,11,0.255028,1.728535
"464",4,5,11,-0.07548685,1.74962
"465",4,10,11,-0.435657,1.758775
"466",4,14,11,-2.030175,1.680415
"467",4,18,11,0.119383,1.759045
"468",4,2,12,-1.419255,1.61399
"469",4,5,12,2.199245,1.5712
"470",4,8,12,1.51003,1.76506
"471",4,11,12,1.11781,1.672895
"472",4,14,12,0.8681695,1.729515
"473",4,17,12,0.816752,1.798105
"474",4,4,13,1.549705,1.643115
"475",4,10,13,-0.5570035,1.540985
"476",4,15,13,0.184772,1.71596
"477",4,7,14,-0.3798015,1.763875
"478",4,12,14,0.4723355,1.70873
"479",4,17,14,0.7767235,1.744735
"480",4,1,15,0.5037925,1.74861
"481",4,6,15,0.851106,1.83208
"482",4,11,15,0.0652004,1.74526
"483",4,16,15,-0.934488,1.919065
"484",4,3,16,-1.161815,1.65551
"485",4,9,16,-0.1092285,1.724845
"486",4,14,16,0.519433,1.805585
"487",4,3,17,-0.6011495,1.658275
"488",4,8,17,0.3108625,1.72834
"489",4,13,17,0.215548,1.758015
"490",4,17,17,-1.69589,1.59871
"491",4,1,18,-0.4375365,1.87094
"492",4,8,18,-1.336785,1.793745
