"nesting.group","nest.group.num"
"Citizen-Bolivia-2011",31
"Citizen-Bolivia-2011",31
"Citizen-Bolivia-2011",31
"Citizen-Bolivia-2012",32
"Citizen-Bolivia-2012",32
"Citizen-Bolivia-2012",32
"Citizen-Bolivia-2012",32
"Citizen-Bolivia-2012",32
"Citizen-Bolivia-2013",33
"Citizen-Bolivia-2013",33
"Citizen-Bolivia-2013",33
"Citizen-Bolivia-2014",34
"Citizen-Bolivia-2014",34
"Citizen-Brazil-1996",35
"Citizen-Brazil-1996",35
"Citizen-Brazil-1996",35
"Citizen-Brazil-1996",35
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-1998",36
"Citizen-Brazil-2000",37
"Citizen-Brazil-2000",37
"Citizen-Brazil-2000",37
"Citizen-Brazil-2000",37
"Citizen-Brazil-2001",38
"Citizen-Brazil-2001",38
"Citizen-Brazil-2001",38
"Citizen-Brazil-2001",38
"Citizen-Brazil-2001",38
"Citizen-Brazil-2001",38
"Citizen-Brazil-2001",38
"Citizen-Brazil-2002",39
"Citizen-Brazil-2002",39
"Citizen-Brazil-2002",39
"Citizen-Brazil-2002",39
"Citizen-Brazil-2002",39
"Citizen-Brazil-2003",40
"Citizen-Brazil-2003",40
"Citizen-Brazil-2003",40
"Citizen-Brazil-2003",40
"Citizen-Brazil-2003",40
"Citizen-Brazil-2004",41
"Citizen-Brazil-2004",41
"Citizen-Brazil-2004",41
"Citizen-Brazil-2005",42
"Citizen-Brazil-2005",42
"Citizen-Brazil-2005",42
"Citizen-Brazil-2005",42
"Citizen-Brazil-2005",42
"Citizen-Brazil-2005",42
"Citizen-Brazil-2006",43
"Citizen-Brazil-2006",43
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2007",44
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2008",45
"Citizen-Brazil-2009",46
"Citizen-Brazil-2009",46
"Citizen-Brazil-2009",46
"Citizen-Brazil-2009",46
"Citizen-Brazil-2009",46
"Citizen-Brazil-2009",46
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2010",47
"Citizen-Brazil-2011",48
"Citizen-Brazil-2011",48
"Citizen-Brazil-2011",48
"Citizen-Brazil-2011",48
"Citizen-Brazil-2012",49
"Citizen-Brazil-2012",49
"Citizen-Brazil-2012",49
"Citizen-Brazil-2012",49
"Citizen-Brazil-2012",49
"Citizen-Brazil-2013",50
"Citizen-Brazil-2013",50
"Citizen-Brazil-2013",50
"Citizen-Brazil-2014",51
"Citizen-Brazil-2014",51
"Citizen-Chile-1996",52
"Citizen-Chile-1996",52
"Citizen-Chile-1996",52
"Citizen-Chile-1996",52
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-1998",53
"Citizen-Chile-2000",54
"Citizen-Chile-2000",54
"Citizen-Chile-2000",54
"Citizen-Chile-2000",54
"Citizen-Chile-2001",55
"Citizen-Chile-2001",55
"Citizen-Chile-2001",55
"Citizen-Chile-2001",55
"Citizen-Chile-2001",55
"Citizen-Chile-2001",55
"Citizen-Chile-2001",55
"Citizen-Chile-2002",56
"Citizen-Chile-2002",56
"Citizen-Chile-2002",56
"Citizen-Chile-2002",56
"Citizen-Chile-2002",56
"Citizen-Chile-2003",57
"Citizen-Chile-2003",57
"Citizen-Chile-2003",57
"Citizen-Chile-2003",57
"Citizen-Chile-2003",57
"Citizen-Chile-2004",58
"Citizen-Chile-2004",58
"Citizen-Chile-2004",58
