year,Mood,Std.Error
1994,58.248,1.773
1995,56.342,2.569
1996,56.744,2.026
1997,58.809,1.73
1998,59.161,1.283
1999,60.544,0.975
2000,60.582,0.987
2001,59.524,1.063
2002,63.798,0.782
2003,65.837,0.876
2004,64.765,0.867
2005,66.516,0.945
2006,66.419,0.884
2007,66.727,1.032
2008,66.619,0.995
2009,65.238,3.871
2010,61.48,4.328
2011,62.361,4.142
2012,61.254,4.973
2013,60.408,4.807
2014,59.106,4.697
