Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Guatemala	AverageTariff	41.88	41.88	20.94	20.94	13.4	13.4	13.4	13.4	13.4	9.05	10.05	9.28	8.5	8.19	7.64	7.09	6.77	6.2	5.96	5.72	5.61	5.59	5.57	5.56	5.57
Honduras	AverageTariff	51.37	32.85	31.87	24.4	21.09	12.26	11.89	11.89	11.89	11.89	9.93				7.55	7.27	6.91	5.89	5.89	5.89	5.59	5.6	5.61	5.63	5.58
Jamaica	AverageTariff		42.28	19.2	19.2	19.9	19.9	20.2	20.2	19.2	19.2	19.2	21.19	21.19	21.19	18.76	7.2	7.22	7.22	7.22			7.33	7.47		
Mexico	AverageTariff	35.48	29.01	11.79	11.06	11.06	13.67	13.67	13.63	13.53	13.53	13.11	14.75	14.75	14.69	17.89	17.9	17.88	18.04	18.11	17.47	14.45	13.59	13.02	12.45	11.27
Nicaragua	AverageTariff	50.32		19.57			7.45				16.21	9.97	8.89	6.46	5.52	10.52	3.78	4.74	4.72	4.97	5.21	5.61	5.61	5.61	5.59	5.57
Paraguay	AverageTariff	70.41	19.06		19.06		15.8	15.5	9.09	9.09	7.9	10.74	10.96	11.07	11.12	13.18	13.16	12.74	12.46	12.47	11.86	10.6	9.95	10.38	10.33	10.33
Peru	AverageTariff	65.13	64.11	64.11	68.99	69.3	26.46	17.91	17.71	17.91	16.54	16.54	16.43	13.41	13.38	13.38	13.69				10.73	10.2	10.19	10.19	6.08	5.38
TrinidadTobago	AverageTariff				74.57	15.27	15.27	17.88	18.01	9.71	9.71	9.71	9.71	19.45	19.45	19.14	13.47	7.8	7.9	7.9			7.81	7.24	7.24	
Uruguay	AverageTariff	10.41	11.61	9.66	8.78	8.78	7.48	6.99	5.92	19.94	17.24	10.91	11.27	11.4	13.67	13.76	13.94	13.77	12.85	12.85	12.85	10.82	10.58	10.59	10.52	10.52
Venezuela	AverageTariff	31.72	32.35	34.79	35.74	32.35	20.09	16.92	16.6	16.03	12.05	13.68	13.94	12.38	12.42	12.44	12.41	12.57	12.72	12.58	12.43	12.43	13	13.19	13.33	13.33
