year	gdpgrowth
1990	0.615285368
1995	0.811051602
1996	3.79721323
1997	5.365274851
1998	2.519319344
1999	0.381313872
2000	3.914445341
2001	0.718469209
2002	0.211056942
2003	1.88519949
2004	5.795713063
2005	4.415263356
2006	5.384968797
2007	5.279130598
2008	3.537199758
2009	-1.632001707
2010	5.632388275
2011	4.219118367
2012	2.807541598
2013	2.490192932
