	Argentina	Bolivia	Brazil	Chile	Colombia	CostaRica	DominicanRep	Ecuador	ElSalvador	Guatemala	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Uruguay	Venezuela	Average
1995	19.67962315	48.20184524	42.14174652	48.99988954	33.5667919	10.59017793	19.05035716	22.06151773	34.88502679	19.27153277	24.63753433	24.35998077	16.54706258	74.02420915	23.84833796	16.27775809	26.31539006	8.94488044	28.52242567
1996	19.87604288	52.73169183	40.63074892	53.38208732	35.21840018	13.41076287	20.65448334	22.17652411	36.83660134	18.95943995	26.11330947	15.72025856	12.86624447	68.09192135	25.66033795	21.52264019	26.73744783	8.39793651	28.83260439
1997	21.55693559	58.26979964	40.59742036	54.70857318	36.37044524	14.55275199	22.12911485	23.94687617	40.29517636	18.53302421	32.26929437	21.07525183	16.17155654	72.33240777	27.06083699	24.97396508	25.8337455	12.60687499	31.29355837
1998	23.59099075	64.04721196	29.42557938	57.25120724	34.83502476	18.49074062	23.30375144	21.90491427	41.87296857	20.52248021	37.74094184	18.90046189	19.80707677	82.41643723	23.39164347	28.69092618	40.35814708	12.04049644	33.25505556
1999	24.13610077	64.44484452	29.70221116	60.20721974	31.29700986	20.2610396	26.54615205	22.41130201	43.76324383	20.67878377	41.26124572	15.94056197	23.14111488	91.71476829	23.99348832	29.4792094	43.42729524	11.21427062	34.64554788
2000	23.16742232	58.71540722	31.05590769	60.46712888	20.75678494	24.01142064	28.97919377	26.02081895	45.1374866	19.76572892	34.11375249	14.59288269	23.51534665	95.45449852	23.48652832	26.73637609	44.91885965	10.48383102	33.96552085
2001	20.15603278	53.36325777	28.99162104	62.19259845	21.81215477	27.50640952	32.29728443	23.95538003	40.08273504	21.74583769	36.27586067	12.12462839	13.67067053	100.299098	24.10068773	23.64677192	53.75090897	12.2927352	33.79248183
2002	15.11567375	50.74018025	29.59751385	63.34397755	21.4483139	29.90181409	33.36892405	17.9388868	39.58333468	20.57942635	35.69842997	13.73087445	15.08254687	81.85691647	20.91820326	22.34108821	70.3585878	10.03860012	32.8690718
2003	10.62118196	47.661225	27.65156959	61.14928354	21.00962684	31.14913934	31.74165479	16.64142529	41.19957162	25.61189312	36.29063517	13.71780974	17.63139293	77.16191818	14.69953527	19.88431569	43.0641993	8.807378439	30.31631977
2004	8.602041694	42.42697561	29.35846725	62.02646575	22.14510938	31.86869733	19.8622845	18.71232355	41.15412382	25.58401966	37.20410663	12.9930153	19.57872587	75.73661252	14.61982632	17.92999544	24.0919898	11.0064991	28.60562664
2005	9.375352261	39.60325295	31.82290208	63.59634138	22.55721817	35.47881737	20.10199815	20.29826956	42.18460601	24.72832195	38.25674333	14.09517336	22.5502809	79.83193037	14.99798991	19.34948599	22.38960349	13.15874471	29.68761289
2006	10.21043988	35.17471803	35.41999097	62.72679692	27.12318771	37.74571075	19.0521388	21.09630084	42.62278529	27.74203268	44.13616249	16.50849965	26.29985656	81.6274686	14.62713479	17.64860357	23.87281191	16.97928845	31.14521822
2007	11.01185154	34.34399774	40.7243517	69.0504608	30.35053742	44.22209496	20.04827578	21.99925317	42.8596849	27.60076733	51.64694826	17.99578261	29.98170154	78.3996157	17.63616022	21.17699204	23.35241426	23.41993498	33.6567125
2008	10.58644881	31.49264845	45.81574469	72.89599878	31.08121376	50.47303917	19.81422923	22.50775084	42.07415718	26.78392781	51.34258677	17.04550897	28.16759452	77.32909603	24.79659162	25.47384741	27.7875396	21.42136861	34.8271829
2009	10.60855794	34.01830456	47.56372029	69.73867045	29.84536601	49.15891994	20.60678206	22.1702649	41.48681169	24.8500592	50.30623144	18.14717603	25.13361117	75.53795376	30.17162772	25.13821603	20.48134339	23.55062418	34.36190226
2010	11.28930519	36.02344302	52.75124531	65.7117498	32.27301585	45.29180207	21.78514106	24.48509832	39.96169062	23.35309413	47.93392435	18.44905904	24.31307786	77.73557637	34.4795162	24.99348611	22.25341381	18.79693113	34.54892057
2011	12.7615201	36.77233103	58.09995807	69.86172176	34.88233674	47.15009409	21.88825805	25.27852332	38.82555029	23.02754262	46.9401715	19.56401062	23.99299154	78.00700956	38.83754029	27.15614393	23.03310423	20.37389374	35.91403897
2012	14.01116096	39.03504703	63.86788132	73.51206602	37.84920903	48.9196187	21.60189143	26.17842622	39.18848774	31.13743706	50.89728632	20.20067982	26.92528128	78.98688569	42.62453992	28.219638	23.37212885	25.17537697	38.4279468
2013	14.92774577	41.00476155	66.3981321	76.65942358	39.66832018	50.82928718	23.104414	26.6834814	41.54332214	32.05241078	54.29518593	22.45370173	29.72735538	63.79778931	45.74008902	31.38457185	25.96430965	29.75614175	39.77724685
2014	14.05067542	42.23674147	69.11036037	79.37094168	42.73640708	55.11246211	25.37473847	27.44487684	41.78823687	32.45365055	55.25947779	22.56797969	31.3684732	81.67228373	49.63217139	33.88693696	26.89280914	37.37744406	42.68537038
