"yearcase","uniqueid","caseid","wave","party_survey","party_elected","pp1990_w","pp1993_w","pp1997_w","pp2001_w","pp2005_w","pp2009_w","pp2013_w","pp1986_e","pp1990_e","pp1994_e","pp1998_e","pp2002_e","pp2006_e","pp2010_e","region","age","elecsys","pplist","parlame","parlsys","fidelit","munelec","concurr","needmps","needmps2","needmps_all","abusemp","presinf","colig","cprep","cppol","cplimit","cpurnas","cpfisio","cpcorr","cpslow","cpmps","cpcenter","cpswitch","cpgovern","cpcands","cpparl","impinst","dilemma","coalperc","believe","demands","imptmin","efforts","exparea","expmin","promise","pporg","econaid","success","nocomp","bases","elecamp","famtrad","carisma","expel","expel2","expel_all","others","ppswitch","ppswitc2","ppswitch_all","execut","clients","clients2","clients_all","ppvsreg","prescand","govcand","plenario","defideo","visitas","visitas2","visitas_all","pedidos","pedidos2","pedidos_all","destpp","destpp2","destpp_all","pork","pork2","pork_all","destcn","destcn2","destcn_all","entidade","entidad2","entidade_all","local","local2","local_all","boletins","tvradio","discplen","votplen","intbill","amend","speaker","commiss","execpp","talkmil","fedbur","locbur","press","civsoc","mtsarney","mtcollor","favors","position","redtape","account","timevtr","timepref","timebill","timemisc","sarney","collor","itamar","cardoso1","cardoso2","lula","congress","partysys","coalgood","presscn","psdbpt","terms","pds1980","pmdb1980","pp1980_80","pdt1980","pt1980","ptb1980","outro1980","np1980","arena1966","mdb1966","outro1966","np1966","vereador","depest","senador","depfed","prefvice","govvice","ministro","secest","family","elei1990","occup","dempmdb","dempfl","dempds","dempsdb","demprn","dempdt","demptb","dempt","dempl","dempcdb","dempdc","dempcb","dempsb","dempstu","econdev","socord","demcons","ffaaint","ffaadem","mindef","minciv","extsni","lrclass","lrpmdb","lrdem","lrpcb","lrpcdob","lrpdc","lrpds","lrpdt","lrpfl","lrpl","lrpp","lrpp_ppb","lrppr","lrpps","lrpr","lrprn","lrpsb","lrpsd","lrpsdb","lrpsol","lrpstu","lrpt","lrptb","lrpv","lrsarney","lrcollor","lritamar","lrfhc","lrlula","lrdilma","econlmr","gov2006","pres2006","vot1989_1","vot1989_2","renda","inicpriv","govresp","concorr","getrich","trabvida","enviro","saude","edfund","edsuper","infra","socpol","flforpol","flallies","flviolence","fljudicial","flregulate","flrace","flpolref","flpreviden","flantipov","flanticorr","flgovrel","flsociety","flmonetary","dlforpol","dlallies","dlviol","dlinfra","dlrace","dlantpov","dlgender","dltecno","dlcorrup","dlgovrel","dlfiscal","dlcivsoc","dlmonet","dlhrmil","dlpetro","fpallies","fpecdev","fpinteg","fpauth","fpoecd","fpoecd2","fpoecd_all","china","onuseg","brfdi","bndes","cotaafro","cotrenda","casament","aborto","tengoal1","tengoal2","currentgoal1","currentgoal2","othergoal1","othergoal2","bfpobre","bfpref","bfbase","bflula","bfmywin","cites","amends","approved","econlmr1990","mnclmr","agrlmr","lrlmr","diap","kinzo","reldisc","absdisc","econdiap","ideodiap","presdiap","bcdiap","jurodiap","evangel","diapstar","diaphist","pm4","pm12","czideo","czideose","pweight"
2013001,7001,1,2013,12,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,12,3,8,2,1,2,NA,9,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,5,1,NA,NA,5,1,2,NA,NA,NA,NA,NA,5,2,NA,4,2,NA,4,2,NA,5,2,NA,4,2,NA,4,2,NA,4,2,NA,4,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,7,9,NA,2,NA,NA,3,NA,NA,NA,7,NA,3,7,NA,6,6,8,1,NA,2,4,4,8,10,5,8,3,4,2,NA,NA,NA,NA,1,1,5,1,8,5,2,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,3,4,3,4,5,2,3,2,3,4,3,NA,NA,NA,NA,NA,3,9,4,5,9,5,5,5,3,4,1,3,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2,-0.321311731,0.230299894,0.7723905
2013002,7002,2,2013,15,15,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,15,1,5,3,1,2,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,5,1,NA,NA,5,1,3,NA,NA,NA,NA,NA,9,9,NA,2,1,NA,4,2,NA,4,2,NA,5,2,NA,4,2,NA,4,2,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,7,5,10,NA,1,NA,NA,2,NA,NA,NA,10,NA,2,9,NA,4,10,3,1,NA,2,8,5,4,99,99,5,4,4,1,NA,NA,NA,NA,1,1,10,1,10,1,2,4,4,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,3,3,3,4,4,5,4,3,9,4,3,NA,NA,NA,NA,NA,1,2,1,4,4,1,1,4,4,3,1,3,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2,1.07564082,0.259879831,0.9583009
2013003,7003,3,2013,40,40,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,5,4,1,1,2,NA,1,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,3,9,NA,NA,3,9,1,NA,NA,NA,NA,NA,5,2,NA,5,2,NA,5,2,NA,5,2,NA,5,2,NA,5,2,NA,5,2,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4,6,9,NA,2,NA,NA,4,NA,NA,NA,9,NA,4,7,NA,4,8,8,1,NA,6,5,4,9,9,9,10,6,8,2,NA,NA,NA,NA,5,1,5,1,10,8,1,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,3,3,3,2,4,3,3,2,3,4,4,NA,NA,NA,NA,NA,3,9,2,2,2,3,4,4,9,3,3,1,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,5,-0.788213769,0.283190502,0.6228956
2013004,7004,4,2013,13,13,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,13,3,8,2,2,1,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,5,1,NA,NA,3,9,3,NA,NA,NA,NA,NA,5,2,NA,3,1,NA,4,2,NA,4,2,NA,3,1,NA,4,2,NA,4,2,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,7,10,NA,7,NA,NA,7,NA,NA,NA,8,NA,10,9,NA,8,9,9,2,NA,4,8,8,8,8,5,8,4,3,2,NA,NA,NA,NA,10,7,9,6,8,6,1,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,3,3,3,3,3,2,4,3,4,4,4,NA,NA,NA,NA,NA,1,2,2,3,4,4,5,5,5,2,3,1,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,5,-2.077747273,0.420194973,1.324473
2013005,6070,5,2013,12,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,12,3,7,1,1,2,NA,0,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,9,NA,NA,5,1,2,NA,NA,NA,NA,NA,4,2,NA,3,1,NA,4,2,NA,4,2,NA,4,2,NA,4,2,NA,3,1,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,8,9,NA,5,NA,NA,5,NA,NA,NA,8,NA,9,8,NA,6,8,7,3,NA,7,99,8,9,9,7,6,5,4,2,NA,NA,NA,NA,8,3,5,1,8,3,1,5,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,3,4,3,3,3,2,3,2,5,5,3,NA,NA,NA,NA,NA,4,1,2,1,4,5,5,5,3,2,1,2,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,3,-1.684278117,0.255421156,0.7723905
2013006,6041,6,2013,55,25,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,25,3,6,1,1,2,NA,1,NA,NA,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,3,9,NA,NA,5,1,2,NA,NA,NA,NA,NA,5,2,NA,3,1,NA,4,2,NA,5,2,NA,4,2,NA,5,2,NA,5,2,NA,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,99,7,10,NA,1,NA,NA,4,NA,NA,NA,7,NA,2,6,NA,2,5,4,1,NA,2,6,4,7,7,6,4,3,4,1,NA,NA,NA,NA,9,2,9,2,10,2,2,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3,3,3,3,3,3,2,3,3,1,3,2,NA,NA,NA,NA,NA,5,1,5,4,5,4,2,4,5,3,1,4,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,3,3,0.842281108,0.190097226,1.109887
2013007,6098,7,2013,55,11,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,11,5,7,2,2,1,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,3,9,NA,NA,5,1,2,NA,NA,NA,NA,NA,5,2,NA,5,2,NA,4,2,NA,5,2,NA,5,2,NA,4,2,NA,4,2,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,99,8,10,NA,1,NA,NA,4,NA,NA,NA,7,NA,4,8,NA,4,5,4,1,NA,1,7,3,9,8,6,6,1,4,1,NA,NA,NA,NA,3,2,9,2,10,2,1,4,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,3,3,3,3,3,4,3,3,3,4,4,NA,NA,NA,NA,NA,3,9,3,2,4,3,3,5,4,2,1,3,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,3,0.510762631,0.175704923,1.109887
2013008,7008,8,2013,14,14,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,14,3,9,1,1,2,NA,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,2,NA,NA,3,9,2,NA,NA,NA,NA,NA,5,2,NA,4,2,NA,1,0,NA,3,1,NA,2,1,NA,5,2,NA,3,1,NA,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,99,3,8,NA,1,NA,NA,2,NA,NA,NA,8,NA,2,3,NA,2,5,3,1,NA,2,3,2,5,4,3,6,4,5,2,NA,NA,NA,NA,10,1,10,1,10,1,1,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,3,3,2,3,2,2,2,2,3,1,NA,NA,NA,NA,NA,5,1,2,5,3,2,5,5,3,5,1,3,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,2,2,0.264766956,0.338743566,1.494949
2013009,7009,9,2013,15,15,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,15,4,5,2,1,2,NA,0,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,9,NA,NA,1,2,3,NA,NA,NA,NA,NA,3,1,NA,2,1,NA,4,2,NA,3,1,NA,5,2,NA,4,2,NA,3,1,NA,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,5,10,NA,2,NA,NA,4,NA,NA,NA,9,NA,4,9,NA,2,7,8,1,NA,3,8,4,10,9,7,6,3,3,2,NA,NA,NA,NA,5,3,5,3,8,5,2,4,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,9,4,4,5,3,4,3,3,3,3,4,4,NA,NA,NA,NA,NA,3,9,3,2,4,4,2,4,1,5,1,2,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,0.066509276,0.139732623,0.9583009
2013010,7010,10,2013,15,15,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,15,4,7,2,2,1,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,5,1,NA,NA,5,1,3,NA,NA,NA,NA,NA,4,2,NA,4,2,NA,4,2,NA,4,2,NA,4,2,NA,4,2,NA,4,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,99,6,9,NA,4,NA,NA,6,NA,NA,NA,9,NA,7,7,NA,4,8,6,1,NA,4,7,1,7,7,5,5,5,5,2,NA,NA,NA,NA,6,1,6,1,3,3,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,4,2,3,3,3,4,3,NA,NA,NA,NA,NA,3,9,2,3,4,5,5,5,5,3,1,3,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,5,-0.023415078,0.266912925,0.9583009
