"yearcase","uniqueid","caseid","wave","party_survey","party_elected","pp1990_w","pp1993_w","pp1997_w","pp2001_w","pp2005_w","pp2009_w","pp2013_w","pp1986_e","pp1990_e","pp1994_e","pp1998_e","pp2002_e","pp2006_e","pp2010_e","region","age","elecsys","pplist","parlame","parlsys","fidelit","munelec","concurr","needmps","needmps2","needmps_all","abusemp","presinf","colig","cprep","cppol","cplimit","cpurnas","cpfisio","cpcorr","cpslow","cpmps","cpcenter","cpswitch","cpgovern","cpcands","cpparl","impinst","dilemma","coalperc","believe","demands","imptmin","efforts","exparea","expmin","promise","pporg","econaid","success","nocomp","bases","elecamp","famtrad","carisma","expel","expel2","expel_all","others","ppswitch","ppswitc2","ppswitch_all","execut","clients","clients2","clients_all","ppvsreg","prescand","govcand","plenario","defideo","visitas","visitas2","visitas_all","pedidos","pedidos2","pedidos_all","destpp","destpp2","destpp_all","pork","pork2","pork_all","destcn","destcn2","destcn_all","entidade","entidad2","entidade_all","local","local2","local_all","boletins","tvradio","discplen","votplen","intbill","amend","speaker","commiss","execpp","talkmil","fedbur","locbur","press","civsoc","mtsarney","mtcollor","favors","position","redtape","account","timevtr","timepref","timebill","timemisc","sarney","collor","itamar","cardoso1","cardoso2","lula","congress","partysys","coalgood","presscn","psdbpt","terms","pds1980","pmdb1980","pp1980_80","pdt1980","pt1980","ptb1980","outro1980","np1980","arena1966","mdb1966","outro1966","np1966","vereador","depest","senador","depfed","prefvice","govvice","ministro","secest","family","elei1990","occup","dempmdb","dempfl","dempds","dempsdb","demprn","dempdt","demptb","dempt","dempl","dempcdb","dempdc","dempcb","dempsb","dempstu","econdev","socord","demcons","ffaaint","ffaadem","mindef","minciv","extsni","lrclass","lrpmdb","lrdem","lrpcb","lrpcdob","lrpdc","lrpds","lrpdt","lrpfl","lrpl","lrpp","lrpp_ppb","lrppr","lrpps","lrpr","lrprn","lrpsb","lrpsd","lrpsdb","lrpsol","lrpstu","lrpt","lrptb","lrpv","lrsarney","lrcollor","lritamar","lrfhc","lrlula","lrdilma","econlmr","gov2006","pres2006","vot1989_1","vot1989_2","renda","inicpriv","govresp","concorr","getrich","trabvida","enviro","saude","edfund","edsuper","infra","socpol","flforpol","flallies","flviolence","fljudicial","flregulate","flrace","flpolref","flpreviden","flantipov","flanticorr","flgovrel","flsociety","flmonetary","dlforpol","dlallies","dlviol","dlinfra","dlrace","dlantpov","dlgender","dltecno","dlcorrup","dlgovrel","dlfiscal","dlcivsoc","dlmonet","dlhrmil","dlpetro","fpallies","fpecdev","fpinteg","fpauth","fpoecd","fpoecd2","fpoecd_all","china","onuseg","brfdi","bndes","cotaafro","cotrenda","casament","aborto","tengoal1","tengoal2","currentgoal1","currentgoal2","othergoal1","othergoal2","bfpobre","bfpref","bfbase","bflula","bfmywin","cites","amends","approved","econlmr1990","mnclmr","agrlmr","lrlmr","diap","kinzo","reldisc","absdisc","econdiap","ideodiap","presdiap","bcdiap","jurodiap","evangel","diapstar","diaphist","pm4","pm12","czideo","czideose","pweight"
2009001,6001,1,2009,15,15,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,15,NA,4,10,2,2,2,NA,1,NA,NA,4,NA,2,NA,NA,NA,2,2,2,2,3,3,3,2,2,3,2,2,2,NA,1,60,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1,2,1,2,1,0,2,NA,2,0,NA,0,1,NA,1,1,NA,1,1,NA,1,1,NA,1,1,NA,1,2,NA,NA,NA,1,2,2,NA,1,NA,2,2,NA,2,NA,NA,3,2,2,3,20,20,50,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,99,4,99,NA,99,NA,NA,99,NA,NA,NA,99,NA,99,99,NA,99,NA,99,99,NA,99,99,99,NA,NA,NA,NA,NA,NA,1,2415,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,6,6,8,8,5,5,7,5,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892328928,0.234585281,1.21258
2009002,6002,2,2009,13,13,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,13,NA,5,4,3,1,2,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1,2,3,3,4,3,2,2,2,3,4,2,NA,1,999,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2,2,2,2,1,2,2,NA,2,2,NA,2,1,NA,1,2,NA,2,2,NA,2,2,NA,2,2,NA,2,2,NA,NA,NA,1,3,2,NA,1,NA,1,1,NA,2,NA,NA,2,1,1,2,20,30,30,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,99,5,10,NA,1,NA,NA,4,NA,NA,NA,7,NA,2,5,NA,2,NA,3,1,NA,3,7,5,NA,NA,NA,NA,NA,NA,1,1213,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,5,6,2,3,3,1,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50281888,0.266674598,0.9156785
2009003,4027,3,2009,65,65,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,65,NA,2,4,1,2,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,1,1,3,3,3,2,2,2,3,3,4,1,NA,1,40,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2,1,1,0,1,1,2,NA,2,2,NA,2,1,NA,1,2,NA,2,2,NA,2,2,NA,2,2,NA,2,1,NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,NA,NA,1,2,1,2,10,30,50,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,6,9,NA,2,NA,NA,4,NA,NA,NA,8,NA,6,9,NA,2,NA,8,1,NA,2,9,4,NA,NA,NA,NA,NA,NA,3,1040,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,3,3,2,1,6,2,1,4,5,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.142895263,0.202611517,0.6084175
2009004,6004,4,2009,15,15,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,15,NA,2,4,2,1,2,NA,1,NA,NA,2,NA,1,NA,NA,NA,2,2,3,2,3,4,3,4,2,3,1,1,2,NA,2,60,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,4,NA,2,NA,1,NA,1,1,1,1,1,0,2,NA,2,2,NA,2,1,NA,1,2,NA,2,1,NA,1,0,NA,0,2,NA,2,1,NA,NA,NA,3,3,1,NA,3,NA,1,2,NA,2,NA,NA,1,3,1,4,15,30,30,25,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,6,8,NA,3,NA,NA,4,NA,NA,NA,9,NA,4,8,NA,4,NA,6,2,NA,5,7,5,NA,NA,NA,NA,NA,NA,1,640,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,6,6,4,4,5,8,4,5,7,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.636502822,0.194981468,1.21258
2009005,6005,5,2009,25,25,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,25,NA,3,8,3,1,1,NA,1,NA,NA,4,NA,2,NA,NA,NA,2,2,1,1,1,2,4,1,2,1,1,1,2,NA,1,60,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,2,0,2,1,0,2,NA,2,2,NA,2,1,NA,1,2,NA,2,2,NA,2,1,NA,1,2,NA,2,1,NA,NA,NA,1,2,3,NA,1,NA,3,1,NA,3,NA,NA,1,2,3,4,20,40,20,20,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,99,8,8,NA,4,NA,NA,5,NA,NA,NA,8,NA,5,5,NA,4,NA,8,1,NA,1,5,8,NA,NA,NA,NA,NA,NA,2,9999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,5,5,1,1,10,10,5,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334162231,0.31087316,0.8744462
2009006,6006,6,2009,22,22,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,22,NA,3,7,1,1,2,NA,1,NA,NA,2,NA,1,NA,NA,NA,2,2,3,1,2,2,1,1,1,1,1,1,4,NA,1,60,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,1,NA,1,NA,1,2,1,1,2,2,2,NA,2,1,NA,1,1,NA,1,1,NA,1,2,NA,2,2,NA,2,2,NA,2,2,NA,NA,NA,1,2,1,NA,1,NA,2,2,NA,2,NA,NA,2,1,2,3,25,25,40,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,8,10,NA,3,NA,NA,4,NA,NA,NA,10,NA,4,6,NA,4,NA,6,1,NA,4,8,6,NA,NA,NA,NA,NA,NA,9,1145,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,5,5,5,1,5,5,1,5,5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.204554469,0.192175305,1.37479
2009007,6007,7,2009,25,25,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,25,NA,5,5,2,1,1,NA,1,NA,NA,4,NA,2,NA,NA,NA,4,4,3,2,2,2,1,1,1,2,1,1,2,NA,1,60,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,1,NA,1,NA,1,3,2,8,2,2,2,NA,2,1,NA,1,0,NA,0,2,NA,2,2,NA,2,1,NA,1,2,NA,2,2,NA,NA,NA,1,1,1,NA,1,NA,1,2,NA,2,NA,NA,2,1,2,1,20,30,40,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,5,5,6,NA,1,NA,NA,4,NA,NA,NA,6,NA,3,6,NA,3,NA,5,1,NA,3,6,1,NA,NA,NA,NA,NA,NA,2,9999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,5,6,2,1,5,10,8,9,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734135954,0.273300295,0.8744462
2009008,6008,8,2009,43,43,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,43,NA,3,6,2,1,1,NA,0,NA,NA,2,NA,1,NA,NA,NA,2,3,4,4,2,3,3,4,2,2,3,3,4,NA,2,70,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,3,NA,2,NA,1,NA,1,2,1,1,1,1,2,NA,2,2,NA,2,1,NA,1,2,NA,2,2,NA,2,1,NA,1,2,NA,2,1,NA,NA,NA,1,1,2,NA,3,NA,2,1,NA,2,NA,NA,1,2,2,4,22.222222,11.111111,44.444444,22.222222,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.5,6,8,NA,1,NA,NA,3,NA,NA,NA,8,NA,3,8,NA,3,NA,6,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,2645,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,9,9,3,1,8,3,3,7,8,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28520916,0.202350776,0.8190235
2009009,6009,9,2009,13,13,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,13,NA,1,5,1,2,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,2,2,2,2,1,3,2,2,3,3,2,2,NA,1,65,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1,3,2,9,1,2,2,NA,2,1,NA,1,2,NA,2,2,NA,2,1,NA,1,2,NA,2,2,NA,2,2,NA,NA,NA,2,1,2,NA,1,NA,1,1,NA,1,NA,NA,1,2,1,1,30,30,20,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,99,5,10,NA,4,NA,NA,6,NA,NA,NA,10,NA,9,9,NA,5,NA,8,1,NA,2,9,7,NA,NA,NA,NA,NA,NA,3,2113,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,5,1,2,2,1,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.340613844,0.278088721,0.9156785
2009010,6010,10,2009,25,25,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,25,NA,3,6,2,1,1,NA,1,NA,NA,3,NA,2,NA,NA,NA,2,2,3,2,1,1,2,1,1,2,1,1,3,NA,2,60,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1,2,1,2,1,2,2,NA,2,2,NA,2,1,NA,1,2,NA,2,1,NA,1,2,NA,2,2,NA,2,2,NA,NA,NA,1,3,3,NA,2,NA,1,2,NA,2,NA,NA,3,1,1,1,20,20,40,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,5,6,NA,3,NA,NA,3,NA,NA,NA,4,NA,5,4,NA,3,NA,6,1,NA,3,4,5,NA,NA,NA,NA,NA,NA,1,2645,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,6,4,2,3,3,3,6,5,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.638003736,0.460954703,0.8744462
