filename	privatization.beneficial	rev.privatization.beneficial	resc.privatization.beneficial	state.not.solves.problems	rev.state.not.solves.problems	resc.state.not.solves.problems	state.not.reduce.inequality	rev.state.not.reduce.inequality	resc.state.not.reduce.inequality	state.limited.scope	rev.state.limited.scope	economy.best.in.private.sector	rev.economy.best.in.private.sector	resc.economy.best.in.private.sector	market.best	rev.market.best	resc.market.best	state.not.in.price.control	state.not.in.primary.edu	state.not.in.housing	state.not.in.job.creation	state.not.in.secondary.edu	state.not.in.pensions	state.not.in.high.edu	state.not.in.unemployment	state.not.in.environ	state.not.in.basic.needs	state.not.in.sanitation	state.not.in.primsec.edu	rev.function	resc.function	sep.prim.sec	LR.ideology.self	LR.party.ideology	LR.ideology.prez1	LR.ideology.prez2
da32peru	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1801	
da33uru	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da34uru	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1802	
da35ven	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da36ven	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1802	
da37mex	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1805	
da38gua	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da39nic	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da40hon	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1402	
da41pan	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da42chi	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da43cr	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1403	
da44repdom	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	p1402
da45ecu	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1404	
da46col	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da47bol	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1405	
da48sal	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	p1405
da49par	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da50mex	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1401	
da51arg	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1403	
